指标,Jev,Laya
退出原因,strategy:service_unavailable,strategy:no_selection
原始墙钟（秒）,1037.732375624997,5.0907516250154
RTT 扣减（秒）,239.7069999999997,0.0
有效墙钟（秒）,798.0253756249974,5.0907516250154
最后计分观测（秒）,798.0236502090072,5.089279166015331
截止后等待 / 退出耗时（秒）,0.0,0.0
完成主线目标 / 11,5,0
徽章 / 8,3,0
最终地图,VermilionCity,RedsHouse2F
已见图鉴 / 151,46,0
已拥有图鉴 / 151,3,0
可选成就 / 11,0,0
采样观察地图数,37,1
判断调用数,854,3
策略 / 动作调用,91 / 763,2 / 1
失败模型请求数,1,0
未返回 Token 用量的请求数,1,0
截止后返回的模型请求数,0,0
输入 Token,2450366,1331
输出 Token,43899,0
累计请求耗时（秒）,717.6267234399565,0.29599795799003914
请求时延中位数（秒）,0.8231653335387819,0.09758654196048155
请求时延 P95（秒）,0.9662510420312174,0.12229600001592189
可测 RTT 样本数,853,0
语义操作数,483,0
选招缓存命中数,294,0
模拟帧,373861,1676
队伍最高 / 平均 / 总等级,37 / 37.00 / 37,0 / 0.00 / 0
初始余额,3000,3000
最终余额,15583,3000
峰值余额,15583,3000
观测正余额变化累计,19861,0
观测负余额变化累计,7278,0
代理报告战败,12,0
观察全队 HP 归零,4,0
无效 / 受阻操作,8,0
其中旅行受阻,8,0
被拒动作,0,1
协议错误,0,0
疑似停滞区间数,0,0
计时前初始化（秒）,1.6344438749947585,1.209312749968376
预热输入 Token,331,46
